"","state_name","state_abbr","source_category","site_count","percent","ratio"
"1","Alabama","AL","undetermined",3,1.22950819672131,0.0122950819672131
"2","Alabama","AL","both",13,5.32786885245902,0.0532786885245902
"3","Alabama","AL","well",40,16.3934426229508,0.163934426229508
"4","Alabama","AL","spring",10,4.0983606557377,0.040983606557377
"5","Alabama","AL","public supply",178,72.9508196721311,0.729508196721312
"6","Alaska","AK","undetermined",66,27.1604938271605,0.271604938271605
"7","Alaska","AK","both",1,0.411522633744856,0.00411522633744856
"8","Alaska","AK","well",52,21.3991769547325,0.213991769547325
"9","Alaska","AK","spring",3,1.23456790123457,0.0123456790123457
"10","Alaska","AK","public supply",121,49.7942386831276,0.497942386831276
"11","Arizona","AZ","undetermined",2,0.290275761973875,0.00290275761973875
"12","Arizona","AZ","both",13,1.88679245283019,0.0188679245283019
"13","Arizona","AZ","well",65,9.43396226415094,0.0943396226415094
"14","Arizona","AZ","spring",4,0.58055152394775,0.0058055152394775
"15","Arizona","AZ","public supply",605,87.8084179970972,0.878084179970972
"16","Arkansas","AR","undetermined",7,2.28013029315961,0.0228013029315961
"17","Arkansas","AR","both",19,6.18892508143322,0.0618892508143322
"18","Arkansas","AR","well",24,7.81758957654723,0.0781758957654723
"19","Arkansas","AR","spring",12,3.90879478827362,0.0390879478827362
"20","Arkansas","AR","public supply",245,79.8045602605863,0.798045602605863
"21","California","CA","undetermined",66,0.701083492670491,0.00701083492670491
"22","California","CA","both",134,1.42341193966433,0.0142341193966433
"23","California","CA","well",1880,19.9702570639473,0.199702570639473
"24","California","CA","spring",288,3.05927342256214,0.0305927342256214
"25","California","CA","sw intake",1,0.0106224771616741,0.000106224771616741
"26","California","CA","public supply",7045,74.8353516039941,0.74835351603994
"27","Colorado","CO","undetermined",14,1.36986301369863,0.0136986301369863
"28","Colorado","CO","both",17,1.66340508806262,0.0166340508806262
"29","Colorado","CO","well",89,8.70841487279843,0.0870841487279843
"30","Colorado","CO","spring",60,5.87084148727984,0.0587084148727984
"31","Colorado","CO","public supply",842,82.3874755381605,0.823874755381605
"32","Connecticut","CT","undetermined",1,0.215982721382289,0.00215982721382289
"33","Connecticut","CT","both",27,5.83153347732181,0.0583153347732181
"34","Connecticut","CT","well",185,39.9568034557235,0.399568034557235
"35","Connecticut","CT","spring",4,0.863930885529158,0.00863930885529158
"36","Connecticut","CT","public supply",246,53.1317494600432,0.531317494600432
"37","Delaware","DE","both",5,5.26315789473684,0.0526315789473684
"38","Delaware","DE","well",40,42.1052631578947,0.421052631578947
"39","Delaware","DE","spring",1,1.05263157894737,0.0105263157894737
"40","Delaware","DE","public supply",49,51.5789473684211,0.515789473684211
"41","District of Columbia","DC","both",1,1.96078431372549,0.0196078431372549
"42","District of Columbia","DC","public supply",50,98.0392156862745,0.980392156862745
"43","Florida","FL","undetermined",2,0.0653167864141084,0.000653167864141084
"44","Florida","FL","both",106,3.46178967994775,0.0346178967994775
"45","Florida","FL","well",540,17.6355323318093,0.176355323318093
"46","Florida","FL","spring",3,0.0979751796211626,0.000979751796211626
"47","Florida","FL","public supply",2411,78.7393860222077,0.787393860222077
"48","Georgia","GA","undetermined",33,4.93273542600897,0.0493273542600897
"49","Georgia","GA","both",69,10.3139013452915,0.103139013452915
"50","Georgia","GA","well",139,20.7772795216741,0.207772795216741
"51","Georgia","GA","spring",11,1.64424514200299,0.0164424514200299
"52","Georgia","GA","public supply",417,62.3318385650224,0.623318385650224
"53","Guam","GU","well",1,16.6666666666667,0.166666666666667
"54","Guam","GU","public supply",5,83.3333333333333,0.833333333333333
"55","Hawaii","HI","undetermined",204,90.2654867256637,0.902654867256637
"56","Hawaii","HI","well",3,1.32743362831858,0.0132743362831858
"57","Hawaii","HI","spring",1,0.442477876106195,0.00442477876106195
"58","Hawaii","HI","self supply",5,2.21238938053097,0.0221238938053097
"59","Hawaii","HI","public supply",13,5.75221238938053,0.0575221238938053
"60","Idaho","ID","undetermined",5,1.35869565217391,0.0135869565217391
"61","Idaho","ID","both",11,2.98913043478261,0.0298913043478261
"62","Idaho","ID","well",58,15.7608695652174,0.157608695652174
"63","Idaho","ID","spring",49,13.3152173913043,0.133152173913043
